Ch1,Ch2,Ch3,Ch4
0.0,0.0,0.0,0.0
-0.07451475032953199,-0.009616332085206753,0.02332873403509542,0.0005058387913221327
0.027476993561724925,0.11554217153170954,-0.06722420934569517,-0.0020512131785935615
-0.02220616525262847,0.17851194209577925,-0.060882305847421735,-0.0023441923668079444
0.035709091844545716,0.09766588657199196,-0.03987944708848305,-0.001072773475443407
0.04613901148939157,-0.043237108471752654,0.004973862319931684,-0.0008354646297962356
0.0036555667397779167,0.002621488301307962,-0.01343783514207151,-0.00054297238534796
0.09816680224551794,0.07723005110793713,-0.07176725363094538,-0.0014484618679370688
0.12845261734458457,0.017731193407094788,-0.04918621282997529,-0.002718229522214342
0.13239432092999834,-0.11000099746212713,0.0022085325337892476,-0.0017476118684637706
0.01382168678862856,-0.10445383254039416,0.018310973999125645,-0.0004942443147036964
0.07873616782305913,-0.044320757951248395,-0.03529257399991522,-0.002013190528031138
0.045241118731546265,0.03337933268260978,-0.062006490599777274,-0.0012441352327317657
-0.037972121570890194,0.02000821076934301,-0.03880643598181136,-0.0020954850421358714
-0.23673183031286857,0.09760643658084413,0.010300937731039794,-0.0004914135949657037
-0.11824431202872027,0.22536432662951075,-0.07581128600041916,-0.0017303205731911187
-0.061793244177672214,0.06908787117797029,-0.029889124356392557,-0.0014665633803884444
-0.20191998056220622,0.07451830055334929,0.014327607194391943,-0.00016494099755043579
-0.1483123736603459,0.16651776937887144,-0.037174619766240515,-0.0015180994240952493
-0.12040215080589448,0.1827782570354696,-0.06526558634422953,-0.0019113480362315375
0.0013390367110401279,0.04777700892037635,-0.035407873205286045,-0.0007593749027226888
0.05694274286678076,-0.12044027958918094,0.027651999240196956,-0.00032337312737745234
-0.0499406673160252,0.181057626590018,-0.04581102943911847,-0.0007324816264327303
-0.04451581682048336,0.06151211358918431,-0.0067012140513554525,-0.000628122274545235
-0.20242941547739507,0.011484791637249735,0.07308001942731644,-0.0004901932964233276
-0.16445043883038934,0.09566727568328133,0.008643985277013056,0.0013331444128257329
-0.2095979596943705,0.1947628179100525,0.005464218391069133,0.0007848867988426228
-0.0530450644556474,0.2751597528684072,-0.05054557569769905,-0.0008983306285864796
-0.06615293967639944,0.298965066012401,-0.055445627348229394,-0.000632281561934145
0.05205838425036233,0.25483000997709315,-0.08087422687629087,-0.00038372727692927226
0.03684709139912427,0.10078513629295087,-0.02826694332844369,-0.0013449339191794092
0.012115033650584531,0.18246521442072342,-0.04440491178452244,-0.00010825858475395348
-0.0009905803766086779,0.17978153732034327,-0.03588021794837468,-0.0003375536258279037
0.0013424047780448065,0.3113404902575776,-0.07614279003358371,-0.000189329073120917
0.05015735499359741,0.2092369004205085,-0.026412788586098874,-0.001390533895141382
0.17024924052884924,0.19370546092641014,-0.04329373041122226,0.00012470108660283505
0.13082200981843153,0.07553617933094184,0.02139370858052376,0.0018575090231123905
0.32836229540008893,0.31373015730255427,-0.13130825097418986,-0.001633641080437431
0.25680412386498214,0.05341329272710016,-0.005229555101191155,-0.0004857087976745143
0.25004414598072544,0.10010671230244302,-0.019063701811268374,0.0008540689706956034
0.3917583297484567,0.1279227413899809,-0.04269311919981604,0.0009445457270830492
0.4025629213337965,0.2602884720423903,-0.060665200781904155,0.0011365329705748648
0.4414845402550361,0.14679255125088697,-0.02545205781620266,0.000880420888974869
0.34727553692984864,0.27128217726824566,-0.037825748518692734,0.0022418247524754525
0.3982854300891737,0.11007520378650403,-0.015468002672469611,0.001767527754140697
0.42670175194434884,0.024510253836512196,0.018086246794364994,0.0001719377335025664
0.47265556552755156,0.035967221239583756,0.0017788669130840828,0.0016718154390437548
0.4110216952070164,0.13802480082665192,-0.00873860329430026,0.0017036826752858973
0.44121521170843325,0.2025709645256215,-0.03597615028555059,0.0018636916265864615
0.4587805617542116,0.24470010189795213,-0.036578600694267514,0.00195040130990181
0.44511388011909736,0.22097981798583563,-0.03089697449646053,0.0019386555181020184
0.4391710886700956,0.21707293818451331,-0.044283902238337274,0.0015394578562786141
