Ch1,Ch2,Ch3,Ch4
0.0,0.0,0.0,0.0
0.012659972912513336,-0.05675100581646537,0.018792046210933475,0.0002840260628026313
-0.014469228742416287,0.1213423063422627,-0.027480524887095636,0.0010937501229582535
0.013497098028564055,-0.016304029015580063,0.021441407013378322,0.0006270053738424916
-0.02770132462614253,0.06995422378445308,0.006463080867821173,0.0009553931371998702
0.024041953968489602,0.07523345606951341,0.016231651205223067,0.0008453945965999246
0.04244812388288628,0.061191398768068096,0.0073781438625829514,0.0008424645650234301
0.04301860433886176,0.11530983787131245,-0.0023915756805807584,0.0012971295958819006
0.1952151401075411,0.17204398514422398,-0.06927852915008363,-8.538505681958023e-06
0.15812072926137455,0.10119958539155822,-0.016376475112255193,-0.00012338858984324623
0.12861353925452007,0.02460035875579953,0.027426358661010574,0.001040586937325749
0.07625932025562697,0.07627585264472538,0.02018041755789709,0.0014030810052160008
0.16280618087733922,0.11884188205215529,-0.026652445559462515,0.00035358457645512744
0.15345720265405266,0.0657258254523268,-0.009663583734528277,0.0006233882261791156
0.08561236882585048,0.005342604879423772,0.03891923461263922,0.0018434711962726888
0.14598524295590457,0.02555808731630311,0.007813594377890545,0.000730111626984702
0.10194003887128306,0.06584052755594436,0.011034785594946493,0.002033363928452758
0.16271973137115633,0.10287300415260685,-0.021749502994569243,0.0008601288765715243
0.15907430328441702,0.048021219796225215,0.015455163469378686,0.0018481410015405975
0.19660509832672157,0.010260472621504532,0.013993331182602814,0.0014269348050532256
0.21200344427202125,-0.053640887265308926,0.03514242185857143,0.002144760028167064
0.17954475364200512,0.016185903425759054,0.008739969488204234,0.0012201527877249956
0.165351665818943,0.05785503279771936,-0.008655552595291199,0.0014777488540978928
0.09600020394391366,-0.04868551016844971,0.04045167611174743,0.001490800055537064
0.05381403230489414,0.09403404657656926,0.0019391835092956826,0.000698169094061935
0.04865126877614973,0.008072309392202139,0.034390112846057044,0.0022052143635347726
0.15991091900316518,0.0832260105275591,-0.0220536346143697,0.0008872340216612315
0.12727905593198285,0.09553122324721029,-0.013031902581816291,0.00129185410912557
0.07740810749194918,0.1358897082857167,0.007392563051395387,0.0019120048707773844
0.23155637250381286,0.009575848782387052,0.0060350720329734485,0.001521869465622095
0.21241766839109041,0.10453796798341583,-0.008232101083806535,0.0010082258835645156
0.3717975935915308,-0.036382298665371994,-0.0023444371172676465,0.0013214463545660987
0.35900475441195545,-0.030858801792568655,0.006574495232114518,0.0024211526477770327
0.31333887183371667,0.02755463591578011,0.01870909950174665,0.0020288531405364472
0.3406729737923867,0.0012090146092400863,-0.004271537151117307,0.0021313107891667987
0.285829253590616,-0.015490833713313529,0.028879467892978808,0.0026112315133759306
0.3586500733572943,-0.004020684153287637,0.0058190958436151775,0.001957685490388823
0.3853886083021613,-0.008266905256379948,-0.0003469508892007293,0.0018404142804384926
0.3974621418724519,-0.009270417802818735,0.004977139081365843,0.0013814569349438813
0.3465345879642724,-0.02744732222600599,0.025854331631989694,0.0017094113304758221
0.34332983337267214,-0.06451665224943363,0.03401638335803835,0.0026526701475299195
0.32673692571827617,0.02996791158723209,0.0018885200098447698,0.0028149254939763882
0.3439745140920157,-0.09745828370764033,0.034625919130773175,0.002183202341067105
0.3491373455800251,0.08674510693204607,-0.022789239822833162,0.0023053841490191006
0.38033208053556833,-0.051214461113684745,0.014863531062225542,0.002174852285838987
0.33779869901931286,-0.07706342001659645,0.047830861611446916,0.0026880448857596185
0.27421140998626065,-0.026746671018632786,0.05045115006821365,0.0037158839680036452
0.34989096699641425,0.02778596186506052,0.0014730755449922348,0.002769420111558082
0.41056543836466913,0.015539878597583464,-0.013051181302754818,0.001944687741418375
0.39738469483040495,0.031956088287341,-0.00431037695227031,0.0015334352631719021
